event,event_time
HAA | OFA=HAA | HAA | OFA=HAA | CGO | OFA=CGO,2019-01-31 16:04:29 | 2019-01-31 16:04:29 | 2019-01-31 16:05:03 | 2019-01-31 16:05:03 | 2019-01-31 16:06:40 | 2019-01-31 16:06:40
HAA | OFA=HAA | HAA | HAA | CGO | OFA=CGO | CGO,2019-02-01 18:15:08 | 2019-02-01 18:15:08 | 2019-02-01 18:15:38 | 2019-02-01 18:15:54 | 2019-02-01 18:17:22 | 2019-02-01 18:17:22 | 2019-02-01 18:17:39
HAA | OFA=HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO | CGO,2019-02-02 16:00:13 | 2019-02-02 16:00:13 | 2019-02-02 16:00:33 | 2019-02-02 16:01:00 | 2019-02-02 16:01:16 | 2019-02-02 16:01:46 | 2019-02-02 16:03:03 | 2019-02-02 16:03:03 | 2019-02-02 16:03:19
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA,2019-02-03 15:55:53 | 2019-02-03 15:55:53 | 2019-02-03 15:56:23 | 2019-02-03 15:56:39 | 2019-02-03 15:56:57 | 2019-02-03 15:57:17 | 2019-02-03 15:57:33
HAA | OFA=HAA | HAA | HAA | CGO | OFA=CGO | CGO,2019-02-04 16:05:55 | 2019-02-04 16:05:55 | 2019-02-04 16:06:13 | 2019-02-04 16:06:32 | 2019-02-04 16:07:53 | 2019-02-04 16:07:53 | 2019-02-04 16:08:09
HAA | OFA=HAA | CGO | OFA=CGO | CGO,2019-02-05 16:15:15 | 2019-02-05 16:15:15 | 2019-02-05 16:16:36 | 2019-02-05 16:16:36 | 2019-02-05 16:16:52
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | HAA | CGO,2019-02-06 15:53:08 | 2019-02-06 15:53:08 | 2019-02-06 15:53:38 | 2019-02-06 15:53:55 | 2019-02-06 15:54:25 | 2019-02-06 15:55:01 | 2019-02-06 15:55:17 | 2019-02-06 15:55:34 | 2019-02-06 15:55:50
HAA | OFA=HAA | HAA | HAA | CGO | OFA=CGO | CGO,2019-02-07 15:54:11 | 2019-02-07 15:54:11 | 2019-02-07 15:54:44 | 2019-02-07 15:55:00 | 2019-02-07 15:56:15 | 2019-02-07 15:56:15 | 2019-02-07 15:56:36
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA,2019-02-08 15:46:36 | 2019-02-08 15:46:36 | 2019-02-08 15:47:07 | 2019-02-08 15:47:23 | 2019-02-08 15:47:53 | 2019-02-08 15:48:13 | 2019-02-08 15:48:45
HAA | OFA=HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-02-09 16:16:45 | 2019-02-09 16:16:45 | 2019-02-09 16:17:15 | 2019-02-09 16:17:45 | 2019-02-09 16:18:01 | 2019-02-09 16:18:45 | 2019-02-09 16:19:34 | 2019-02-09 16:19:34
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-02-10 15:53:33 | 2019-02-10 15:53:33 | 2019-02-10 15:53:49 | 2019-02-10 15:54:19 | 2019-02-10 15:54:49 | 2019-02-10 15:55:07 | 2019-02-10 15:55:23 | 2019-02-10 15:55:40 | 2019-02-10 15:56:26 | 2019-02-10 15:56:26
HAA | OFA=HAA | CGO | OFA=CGO | CGO | CGO,2019-02-11 16:18:46 | 2019-02-11 16:18:46 | 2019-02-11 16:20:25 | 2019-02-11 16:20:25 | 2019-02-11 16:20:41 | 2019-02-11 16:20:57
HAA | OFA=HAA | CGO | OFA=CGO | CGO | CGO,2019-02-12 15:58:45 | 2019-02-12 15:58:45 | 2019-02-12 15:59:57 | 2019-02-12 15:59:57 | 2019-02-12 16:00:13 | 2019-02-12 16:00:30
CGO | OFA=CGO | CGO | CGO,2019-02-13 16:01:00 | 2019-02-13 16:01:00 | 2019-02-13 16:01:17 | 2019-02-13 16:01:35
HAA | OFA=HAA | HAA | HAA | HAA | HAA | CGO | CGO,2019-02-14 15:51:38 | 2019-02-14 15:51:38 | 2019-02-14 15:51:54 | 2019-02-14 15:52:24 | 2019-02-14 15:52:54 | 2019-02-14 15:53:14 | 2019-02-14 15:53:31 | 2019-02-14 15:53:47
HAA | OFA=HAA | HAA | HAA | CGO | OFA=CGO,2019-02-15 17:43:22 | 2019-02-15 17:43:22 | 2019-02-15 17:43:38 | 2019-02-15 17:44:08 | 2019-02-15 17:44:47 | 2019-02-15 17:44:47
HAA | OFA=HAA | HAA | CGO | OFA=CGO | CGO,2019-02-16 15:55:21 | 2019-02-16 15:55:21 | 2019-02-16 15:55:52 | 2019-02-16 15:57:22 | 2019-02-16 15:57:22 | 2019-02-16 15:57:39
HAA | OFA=HAA | HAA | CGO | OFA=CGO,2019-02-17 15:46:53 | 2019-02-17 15:46:53 | 2019-02-17 15:47:09 | 2019-02-17 15:48:41 | 2019-02-17 15:48:41
HAA | OFA=HAA | HAA | OFA=HAA | HAA | CGO | OFA=CGO | CGO,2019-02-18 15:46:45 | 2019-02-18 15:46:45 | 2019-02-18 15:47:32 | 2019-02-18 15:47:32 | 2019-02-18 15:47:48 | 2019-02-18 15:48:56 | 2019-02-18 15:48:56 | 2019-02-18 15:49:17
HAA | OFA=HAA | HAA | HAA | HAA | HAA,2019-02-19 17:28:05 | 2019-02-19 17:28:05 | 2019-02-19 17:28:35 | 2019-02-19 17:29:05 | 2019-02-19 17:29:35 | 2019-02-19 17:30:06
HAA | OFA=HAA | HAA | CGO | OFA=CGO | CGO,2019-02-20 15:49:34 | 2019-02-20 15:49:34 | 2019-02-20 15:50:04 | 2019-02-20 15:51:21 | 2019-02-20 15:51:21 | 2019-02-20 15:51:39
HAA | OFA=HAA | CGO | OFA=CGO | CGO,2019-02-21 15:51:00 | 2019-02-21 15:51:00 | 2019-02-21 15:52:37 | 2019-02-21 15:52:37 | 2019-02-21 15:52:53
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | HAA | HAA,2019-02-22 15:44:57 | 2019-02-22 15:44:57 | 2019-02-22 15:45:13 | 2019-02-22 15:45:43 | 2019-02-22 15:45:59 | 2019-02-22 15:46:15 | 2019-02-22 15:46:46 | 2019-02-22 15:47:02 | 2019-02-22 15:47:18
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-02-23 15:45:04 | 2019-02-23 15:45:20 | 2019-02-23 15:45:36 | 2019-02-23 15:45:52 | 2019-02-23 15:46:24 | 2019-02-23 15:46:43 | 2019-02-23 15:47:13 | 2019-02-23 15:47:30
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-02-24 16:24:15 | 2019-02-24 16:24:31 | 2019-02-24 16:24:48 | 2019-02-24 16:25:04 | 2019-02-24 16:25:20 | 2019-02-24 16:25:54 | 2019-02-24 16:26:15 | 2019-02-24 16:26:59
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-02-25 15:39:02 | 2019-02-25 15:39:02 | 2019-02-25 15:39:29 | 2019-02-25 15:39:46 | 2019-02-25 15:40:02 | 2019-02-25 15:40:32 | 2019-02-25 15:41:03 | 2019-02-25 15:41:19 | 2019-02-25 15:42:21 | 2019-02-25 15:42:21
HAA | OFA=HAA | HAA | CGO | OFA=CGO | CGO,2019-02-26 15:46:33 | 2019-02-26 15:46:33 | 2019-02-26 15:47:03 | 2019-02-26 15:48:41 | 2019-02-26 15:48:41 | 2019-02-26 15:49:07
OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-02-27 15:37:22 | 2019-02-27 15:37:40 | 2019-02-27 15:38:12 | 2019-02-27 15:38:28 | 2019-02-27 15:38:58 | 2019-02-27 15:39:16 | 2019-02-27 15:39:32
HAA | OFA=HAA | HAA | OFA=HAA | HAA | CGO | OFA=CGO | CGO,2019-02-28 15:37:09 | 2019-02-28 15:37:09 | 2019-02-28 15:37:55 | 2019-02-28 15:37:55 | 2019-02-28 15:38:26 | 2019-02-28 15:39:34 | 2019-02-28 15:39:34 | 2019-02-28 15:39:52
